listing_id,title,property_type,price,beds,baths,eircode,area,distance_from_city_km,distance_category,has_bus,has_dart,has_luas,url
6496642,"123 Red Arches Road, The Coast, Baldoyle, Dublin 13, D13XFK4",Semi-Detached,470000.0,2,3,D13XFK4,Dublin 13,10,Outer,1,1,0,https://www.daft.ie/for-sale/house-123-red-arches-road-the-coast-baldoyle-co-dublin/6496642
6151748,"13 Cannon Mews East, Beggars Bush, Dublin 4, D04KE21",Semi-Detached,525000.0,2,1,D04KE21,Dublin 4,5,Suburban,1,1,0,https://www.daft.ie/for-sale/property-13-cannon-mews-east-beggars-bush-dublin-4/6151748
6457429,"Penthouse Apartment, 57 Hyde Court, Townsend Street, Dublin 2, D02W778",Semi-Detached,540000.0,2,2,D02W778,Dublin 2,1,City Centre,1,1,1,https://www.daft.ie/for-sale/property-penthouse-apartment-57-hyde-court-townsend-street-dublin-2/6457429
6486591,"29 Stonebridge Drive, Hartstown, Dublin 15, D15H5VC",Semi-Detached,390000.0,3,1,D15H5VC,Dublin 15,12,Outer,1,1,0,https://www.daft.ie/for-sale/semi-detached-house-29-stonebridge-drive-hartstown-dublin-15/6486591
6491154,"43 Chancery Court, Christchurch, Dublin 8",Semi-Detached,565000.0,2,2,D07X027,Dublin 8,3,City Centre,1,0,1,https://www.daft.ie/for-sale/property-43-chancery-court-bride-street-dublin-8/6491154
6326745,"Seaquest, Booterstown Park, Booterstown, Co. Dublin, A94F822",Semi-Detached,995000.0,4,4,A94F822,Dublin 4,5,Suburban,1,1,0,https://www.daft.ie/for-sale/house-seaquest-booterstown-park-booterstown-co-dublin/6326745
6069465,"22 Clare Road, Drumcondra, Dublin 9., D09X3K1",Semi-Detached,850000.0,4,1,D09X3K1,Dublin 9,6,Suburban,1,0,0,https://www.daft.ie/for-sale/house-22-clare-road-drumcondra-dublin-9-/6069465
6073589,"Dunboden, Cross Avenue, Blackrock, Co. Dublin, A94X2E2",Semi-Detached,2195000.0,5,4,A94X2E2,Dublin 18,14,Outer,1,1,0,https://www.daft.ie/for-sale/detached-house-dunboden-cross-avenue-blackrock-blackrock-co-dublin/6073589
6471927,"14 Lorcan Grove, Santry, Dublin 9, D09V186",Semi-Detached,450000.0,4,2,D09V186,Dublin 9,6,Suburban,1,0,0,https://www.daft.ie/for-sale/semi-detached-house-14-lorcan-grove-santry-dublin-9/6471927
6348814,"7 Royal Terrace East, Dun Laoghaire, Co. Dublin, A96P7F3",Semi-Detached,2450000.0,5,7,A96P7F3,Unknown,10,Outer,1,1,0,https://www.daft.ie/for-sale/house-7-royal-terrace-east-dun-laoghaire-co-dublin/6348814
6476180,"38 Huntstown Rise, Mulhuddart, Huntstown, Dublin 15, D15YPH3",Semi-Detached,365000.0,3,1,D15YPH3,Dublin 15,12,Outer,1,1,0,https://www.daft.ie/for-sale/terraced-house-38-huntstown-rise-mulhuddart-huntstown-dublin-15/6476180
6477376,"48 Ashton Avenue, Knocklyon, Dublin 16, D16EC67",Semi-Detached,545000.0,4,2,D16EC67,Dublin 16,10,Outer,1,0,0,https://www.daft.ie/for-sale/detached-house-48-ashton-avenue-knocklyon-dublin-16/6477376
6448167,"16 Courtlands, Cabinteely, Dublin 18, D18C6Y5",Semi-Detached,500000.0,2,1,D18C6Y5,Dublin 18,14,Outer,1,0,1,https://www.daft.ie/for-sale/end-of-terrace-house-16-courtlands-cabinteely-dublin-18/6448167
6491197,"9 Aubreyville, Dublin Road, Shankill, Dublin 18, D18HP46",Semi-Detached,445000.0,3,2,D18HP46,Dublin 18,14,Outer,1,1,0,https://www.daft.ie/for-sale/apartment-9-aubreyville-dublin-road-shankill-dublin-18/6491197
6485937,"7 Almeida Avenue, Dublin 8, Kilmainham, Dublin 8, D08H31C",Semi-Detached,725000.0,2,1,D08H31C,Dublin 8,3,City Centre,1,0,1,https://www.daft.ie/for-sale/semi-detached-house-7-almeida-avenue-dublin-8-kilmainham-dublin-8/6485937
6488443,"16 Monastery Drive, Clondalkin, Dublin 22",Semi-Detached,420000.0,3,2,D22X3E5,Dublin 22,10,Outer,1,0,1,https://www.daft.ie/for-sale/house-16-monastery-drive-clondalkin-dublin-22/6488443
6470569,"2 Pineview Park, Aylesbury, Dublin 24, D24X88H",Semi-Detached,450000.0,3,1,D24X88H,Dublin 24,10,Outer,1,0,0,https://www.daft.ie/for-sale/house-2-pineview-park-aylesbury-co-dublin/6470569
6494588,"Apartment 155, Block A, Smithfield Market (with 2 x Parking Space Options), Smithfield, Dublin 7, D07FA31",End of Terrace,595000.0,3,3,D07FA31,Dublin 7,10,Outer,1,0,1,https://www.daft.ie/for-sale/apartment-apartment-155-block-a-smithfield-market-with-2-x-parking-space-options-smithfield-dublin-7/6494588
6183856,"139 An Crannog, Granitefield Manor, Rochestown Avenue, Dun Laoghaire, Co Dublin, A96R281",Bungalow,375000.0,2,1,A96R281,Dublin 18,14,Outer,1,0,0,https://www.daft.ie/for-sale/property-139-granitefield-manor-rochestown-avenue-dun-laoghaire-co-dublin/6183856
6326618,"Larch Wood, Estuary Road, Malahide, Co. Dublin, K36F620",Semi-Detached,895000.0,5,2,K36F620,Dublin 9,6,Suburban,1,1,0,https://www.daft.ie/for-sale/detached-house-larch-wood-estuary-road-malahide-co-dublin/6326618
6329507,"29 Carton Terrace, Poppintree, Dublin 11, D11DP90",Semi-Detached,350000.0,3,2,D11DP90,Dublin 11,7,Suburban,1,0,0,https://www.daft.ie/for-sale/terraced-house-29-carton-terrace-poppintree-dublin-11/6329507
6485962,"17 Heywood Court, Northwood, Santry, Dublin 9",End of Terrace,295000.0,2,2,D17EY89,Dublin 9,6,Suburban,1,0,0,https://www.daft.ie/for-sale/property-17-heywood-court-northwood-santry-dublin-9/6485962
6485039,"146 Cherrywalk, Forest Hills, Rathcoole, Co. Dublin",Semi-Detached,375000.0,3,2,D24 FC85,Dublin 24,10,Outer,1,0,0,https://www.daft.ie/for-sale/house-146-cherrywalk-forest-hills-rathcoole-co-dublin/6485039
