listing_id,title,property_type,price,beds,baths,eircode,area,distance_from_city_km,distance_category,has_bus,has_dart,has_luas,url
4988777,"4 Ballyedmonduff Cottages, Ballyedmonduff Road, Dublin 18, D18 VY24",Semi-Detached,410000,2.0,1.0,D18 VY24,Dublin 18,14,Outer,1,1,1,https://www.myhome.ie/residential/brochure/4-ballyedmonduff-cottages-ballyedmonduff-road-dublin-18/4988777
4988747,"204 The Distillery Building, Drumcondra, Dublin 3, D03 KH66",Duplex,345000,2.0,2.0,D03KH66,Dublin 3,4,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/204-the-distillery-building-drumcondra-dublin-3/4988747
4988755,"1 Castleview Walk, Swords, County Dublin, K67 R796",End of Terrace,395000,3.0,2.0,K67R796,Unknown,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/1-castleview-walk-swords-county-dublin/4988755
4988770,"13 Bath Street, Irishtown, Dublin 4, D04 KH63",Terraced,895000,3.0,13.0,D04KH63,Dublin 4,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/13-bath-street-irishtown-dublin-4/4988770
4988759,"23 The Parklands, Castleside Drive, Rathfarnham, Dublin 14, D14 DY61",Apartment,335000,1.0,1.0,D14DY61,Dublin 14,7,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/23-the-parklands-castleside-drive-rathfarnham-dublin-14/4988759
4988772,"82 Morehampton Road, Donnybrook, Dublin 4, D04 N8K0",Semi-Detached,1575000,3.0,3.0,D04N8K0,Dublin 4,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/82-morehampton-road-donnybrook-dublin-4/4988772
4988796,"8 Hampton Crescent, St. Helen`s Wood, Blackrock, County Dublin, A94 EW01",End of Terrace,695000,2.0,2.0,A94 EW01,Unknown,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/8-hampton-crescent-st-helen-s-wood-blackrock-county-dublin/4988796
4988675,"9 Glen Court, Stepaside Park, Stepaside, Dublin 18, D18 K7R8",Studio,395000,2.0,2.0,D18 K7R8,Dublin 18,14,Outer,1,1,1,https://www.myhome.ie/residential/brochure/9-glen-court-stepaside-park-stepaside-dublin-18/4988675
4988702,"Block B, 47 The Weir, Chapelizod, Dublin 20, D20 KV18",Apartment,350000,2.0,2.0,D20KV18,Dublin 20,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/block-b-47-the-weir-chapelizod-dublin-20/4988702
4976046,"8 Cedarhurst Green, Castleknock, Dublin 15, D15 X6F4",Terraced,595000,3.0,2.0,D15 X6F4,Dublin 15,12,Outer,1,0,1,https://www.myhome.ie/residential/brochure/8-cedarhurst-green-castleknock-dublin-15/4976046
4988803,"Apartment 75, Bushy Park House, Templeogue Road, Terenure, Dublin 6W, D6W KR52",Apartment,495000,2.0,1.0,D14XR40,Dublin 6,5,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/apartment-75-bushy-park-house-templeogue-road-terenure-dublin-6w/4988803
4982191,"129 Tyrconnell Park, Inchicore, D08 H9DK",Apartment,395000,3.0,1.0,D08 H9DK,Dublin 8,3,City Centre,1,0,1,https://www.myhome.ie/residential/brochure/129-tyrconnell-park-inchicore/4982191
4988742,"20-24 Eglinton Road, Donnybrook, Dublin 4, D04 V2T9",Detached,2450000,4.0,4.0,D04 V2T9,Dublin 4,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/20-24-eglinton-road-donnybrook-dublin-4/4988742
4988764,"67 Redwood, Ridge Hall, Shanganagh Road, Ballybrack, Co. Dublin, A96 RW58",Studio,345000,2.0,1.0,A96RW58,Unknown,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/67-redwood-ridge-hall-shanganagh-road-ballybrack-co-dublin/4988764
4988751,"81 McAuley Drive, Artane, Dublin 5, D05 NW62",Studio,425000,3.0,1.0,D05NW62,Dublin 5,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/81-mcauley-drive-artane-dublin-5/4988751
4988767,"74 Harbour View, Harbour Square, Crofton Road, Dun Laoghaire, Co. Dublin, A96 H5Y6",Studio,475000,1.0,1.0,A96H5Y6,Unknown,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/74-harbour-view-harbour-square-crofton-road-dun-laoghaire-co-dublin/4988767
4988771,"118 Sandyford View, Sandyford, Dublin 18, D18 HY79",Studio,395000,2.0,2.0,D18 HY79,Dublin 18,14,Outer,1,1,1,https://www.myhome.ie/residential/brochure/118-sandyford-view-sandyford-dublin-18/4988771
